Frequency (GHz), RSSI (dBm), Dropped Packets, Good Packets
2.400, -37, 0, 1000
2.401, -37, 0, 1000
2.402, -37, 0, 1000
2.403, -37, 0, 1000
2.404, -39, 0, 1000
2.405, -37, 0, 1000
2.406, -37, 0, 1000
2.407, -37, 0, 1000
2.408, -38, 0, 1000
2.409, -38, 0, 1000
2.410, -37, 0, 1000
2.411, -36, 0, 1000
2.412, -39, 0, 1000
2.413, -39, 0, 1000
2.414, -38, 0, 1000
2.415, -38, 0, 1000
2.416, -38, 0, 1000
2.417, -38, 0, 1000
2.418, -38, 0, 1000
2.419, -38, 0, 1000
2.420, -38, 0, 1000
2.421, -37, 0, 1000
2.422, -37, 0, 1000
2.423, -37, 0, 1000
2.424, -37, 0, 1000
2.425, -39, 0, 1000
2.426, -39, 0, 1000
2.427, -38, 0, 1000
2.428, -38, 0, 1000
2.429, -38, 0, 1000
2.430, -38, 0, 1000
2.431, -38, 0, 1000
2.432, -38, 0, 1000
2.433, -38, 0, 1000
2.434, -38, 0, 1000
2.435, -37, 0, 1000
2.436, -36, 0, 1000
2.437, -37, 0, 1000
2.438, -36, 0, 1000
2.439, -36, 0, 1000
2.440, -36, 0, 1000
2.441, -36, 0, 1000
2.442, -36, 0, 1000
2.443, -39, 0, 1000
2.444, -42, 0, 1000
2.445, -44, 0, 1000
2.446, -43, 0, 1000
2.447, -43, 0, 1000
2.448, -43, 0, 1000
2.449, -36, 0, 1000
2.450, -42, 0, 1000
2.451, -38, 0, 1000
2.452, -38, 0, 1000
2.453, -38, 0, 1000
2.454, -38, 0, 1000
2.455, -38, 0, 1000
2.456, -37, 0, 1000
2.457, -42, 0, 1000
